"","ARO1","term1","ARO2","term2","n_unigenes","gene_class1","gene_class2"
"1200","ARO:3004647","AQU-2","ARO:3002183","MOX-2",1,"class C beta-lactamase","class C beta-lactamase"
"1201","ARO:3002186","AQU-2","ARO:3004647","MOX-3",1,"class C beta-lactamase","class C beta-lactamase"
"1202","ARO:3004647","AQU-2","ARO:3006789","PDC-42",1,"class C beta-lactamase","class C beta-lactamase"
"1203","ARO:3004648","AQU-3","ARO:3002183","MOX-2",1,"class C beta-lactamase","class C beta-lactamase"
"1204","ARO:3008388","AQU-3","ARO:3004648","MOX-20",1,"class C beta-lactamase","class C beta-lactamase"
"1205","ARO:3002186","AQU-3","ARO:3004648","MOX-3",1,"class C beta-lactamase","class C beta-lactamase"
"1206","ARO:3004738","ARL-5","ARO:3004739","ARL-6",1,"class A beta-lactamase","class A beta-lactamase"
"1207","ARO:3004738","ARL-5","ARO:3005097","mecC-type BlaZ",1,"class A beta-lactamase","class A beta-lactamase"
"1208","ARO:3002877","AST-1","ARO:3004740","BcI",1,"class A beta-lactamase","class A beta-lactamase"
"1209","ARO:3007101","AST-1","ARO:3004740","BcIII",1,"class A beta-lactamase","class A beta-lactamase"
"1210","ARO:3005588","AST-1","ARO:3004740","CARB-54",1,"class A beta-lactamase","class A beta-lactamase"
"1211","ARO:3004740","AST-1","ARO:3001988","CTX-M-129",1,"class A beta-lactamase","class A beta-lactamase"
"1212","ARO:3004740","AST-1","ARO:3005631","CTX-M-208",1,"class A beta-lactamase","class A beta-lactamase"
"1213","ARO:3004740","AST-1","ARO:3008340","KPC-218",1,"class A beta-lactamase","class A beta-lactamase"
"1214","ARO:3002482","AST-1","ARO:3004740","LRA-1",1,"class A beta-lactamase","class A beta-lactamase"
"1215","ARO:3004740","AST-1","ARO:3007180","MAB",1,"class A beta-lactamase","class A beta-lactamase"
"1216","ARO:3004740","AST-1","ARO:3008989","PEN-A11",1,"class A beta-lactamase","class A beta-lactamase"
"1217","ARO:3004740","AST-1","ARO:3008992","PEN-A15",1,"class A beta-lactamase","class A beta-lactamase"
"1218","ARO:3004740","AST-1","ARO:3008993","PEN-A16",1,"class A beta-lactamase","class A beta-lactamase"
"1219","ARO:3004740","AST-1","ARO:3009009","PEN-A30",1,"class A beta-lactamase","class A beta-lactamase"
"1220","ARO:3004740","AST-1","ARO:3009021","PEN-A8",1,"class A beta-lactamase","class A beta-lactamase"
"1221","ARO:3004740","AST-1","ARO:3009023","PEN-B1",1,"class A beta-lactamase","class A beta-lactamase"
"1222","ARO:3005111","AST-1","ARO:3004740","blaS1",1,"class A beta-lactamase","class A beta-lactamase"
"1223","ARO:3006897","AXC-1","ARO:3006899","AXC-3",1,"class A beta-lactamase","class A beta-lactamase"
"1224","ARO:3006897","AXC-1","ARO:3006900","AXC-4",1,"class A beta-lactamase","class A beta-lactamase"
"1225","ARO:3006897","AXC-1","ARO:3008076","AXC-7",1,"class A beta-lactamase","class A beta-lactamase"
"1226","ARO:3008077","AXC-1","ARO:3006897","AXC-8",1,"class A beta-lactamase","class A beta-lactamase"
"1227","ARO:3008077","AXC-3","ARO:3006899","AXC-8",1,"class A beta-lactamase","class A beta-lactamase"
"1228","ARO:3006899","AXC-3","ARO:3004757","BKC-1",1,"class A beta-lactamase","class A beta-lactamase"
"1229","ARO:3008082","AXC-3","ARO:3006899","BOR-1",1,"class A beta-lactamase","class A beta-lactamase"
"1230","ARO:3005096","AXC-3","ARO:3006899","GPC-1",1,"class A beta-lactamase","class A beta-lactamase"
"1231","ARO:3002474","AXC-3","ARO:3006899","LEN-26",1,"class A beta-lactamase","class A beta-lactamase"
"1232","ARO:3008821","AXC-3","ARO:3006899","PAD-1",1,"class A beta-lactamase","class A beta-lactamase"
"1233","ARO:3008821","AXC-4","ARO:3006900","PAD-1",1,"class A beta-lactamase","class A beta-lactamase"
"1234","ARO:3008077","AXC-6","ARO:3008075","AXC-8",1,"class A beta-lactamase","class A beta-lactamase"
"1235","ARO:3008077","AXC-8","ARO:3007635","CAE-1",1,"class A beta-lactamase","class A beta-lactamase"
"1236","ARO:3003796","Acinetobacter baumannii ampC beta-lactamase","ARO:3006308","ADC-133",1,"class C beta-lactamase","class C beta-lactamase"
"1237","ARO:3003796","Acinetobacter baumannii ampC beta-lactamase","ARO:3006390","ADC-221",1,"class C beta-lactamase","class C beta-lactamase"
"1238","ARO:3003796","Acinetobacter baumannii ampC beta-lactamase","ARO:3003868","ADC-25",1,"class C beta-lactamase","class C beta-lactamase"
"1239","ARO:3003796","Acinetobacter baumannii ampC beta-lactamase","ARO:3004493","ADC-68",1,"class C beta-lactamase","class C beta-lactamase"
"1240","ARO:3004451","Agrobacterium fabrum chloramphenicol acetyltransferase","ARO:3002679","Pseudomonas aeruginosa catB7",1,"cat","cat"
"1241","ARO:3004451","Agrobacterium fabrum chloramphenicol acetyltransferase","ARO:3002680","catB8",1,"cat","cat"
"1242","ARO:3002674","Alkalihalobacillus clausii chloramphenicol acetyltransferase","ARO:3004452","Clostridium butyricum catB",1,"cat","cat"
"1243","ARO:3004143","AxyX","ARO:3000174","tet(G)",1,"efflux pump","MFS efflux pump"
"1244","ARO:3007374","B3SU1-1","ARO:3008078","PJM-1",1,"class B beta-lactamase","class B beta-lactamase"
"1245","ARO:3003717","B3SU2-1","ARO:3008079","ESP-1",1,"class B beta-lactamase","class B beta-lactamase"
"1246","ARO:3002513","B3SU2-1","ARO:3008079","LRA-19",1,"class B beta-lactamase","class B beta-lactamase"
"1247","ARO:3006972","B3SU2-1","ARO:3008079","PLN-1",1,"class B beta-lactamase","class B beta-lactamase"
"1248","ARO:3008079","B3SU2-1","ARO:3006975","POM-2",1,"class B beta-lactamase","class B beta-lactamase"
"1249","ARO:3003894","B3SU2-1","ARO:3008079","Rm3",1,"class B beta-lactamase","class B beta-lactamase"
"1250","ARO:3004747","BAT-1","ARO:3008507","OXA-1089",1,"class D beta-lactamase","class D beta-lactamase"
"1251","ARO:3004784","BCL-1","ARO:3004749","FAR-1",1,"class A beta-lactamase","class A beta-lactamase"
"1252","ARO:3008082","BES-1","ARO:3004751","BOR-1",1,"class A beta-lactamase","class A beta-lactamase"
"1253","ARO:3002482","BES-1","ARO:3004751","LRA-1",1,"class A beta-lactamase","class A beta-lactamase"
"1254","ARO:3004751","BES-1","ARO:3008989","PEN-A11",1,"class A beta-lactamase","class A beta-lactamase"
"1255","ARO:3008998","BES-1","ARO:3004751","PEN-A20",1,"class A beta-lactamase","class A beta-lactamase"
"1256","ARO:3009007","BES-1","ARO:3004751","PEN-A29",1,"class A beta-lactamase","class A beta-lactamase"
"1257","ARO:3003558","BIC-2","ARO:3008080","y56 beta-lactamase",1,"class A beta-lactamase","class A beta-lactamase"
"1258","ARO:3000856","BJP-1","ARO:3006903","CAR-1",1,"class B beta-lactamase","class B beta-lactamase"
"1259","ARO:3000606","BJP-1","ARO:3000856","FEZ-1",1,"class B beta-lactamase","class B beta-lactamase"
"1260","ARO:3001877","BKC-1","ARO:3004757","CTX-M-14",1,"class A beta-lactamase","class A beta-lactamase"
"1261","ARO:3008821","BKC-1","ARO:3004757","PAD-1",1,"class A beta-lactamase","class A beta-lactamase"
"1262","ARO:3008991","BKC-1","ARO:3004757","PEN-A13",1,"class A beta-lactamase","class A beta-lactamase"
"1263","ARO:3006973","BKC-1","ARO:3004757","PME-1",1,"class A beta-lactamase","class A beta-lactamase"
"1264","ARO:3007635","BKC-2","ARO:3006223","CAE-1",1,"class A beta-lactamase","class A beta-lactamase"
"1265","ARO:3008821","BKC-2","ARO:3006223","PAD-1",1,"class A beta-lactamase","class A beta-lactamase"
"1266","ARO:3009036","BKC-2","ARO:3006223","RAHN-3",1,"class A beta-lactamase","class A beta-lactamase"
"1267","ARO:3007442","BKC-2","ARO:3006223","SSA",1,"class A beta-lactamase","class A beta-lactamase"
"1268","ARO:3008081","BMHC-1","ARO:3007840","CIM-1",1,"class B beta-lactamase","class B beta-lactamase"
"1269","ARO:3008081","BMHC-1","ARO:3006883","ECV-1",1,"class B beta-lactamase","class B beta-lactamase"
"1270","ARO:3002249","BOR-1","ARO:3008082","CARB-10",1,"class A beta-lactamase","class A beta-lactamase"
"1271","ARO:3001991","BOR-1","ARO:3008082","CTX-M-132",1,"class A beta-lactamase","class A beta-lactamase"
"1272","ARO:3001877","BOR-1","ARO:3008082","CTX-M-14",1,"class A beta-lactamase","class A beta-lactamase"
"1273","ARO:3008082","BOR-1","ARO:3001998","CTX-M-140",1,"class A beta-lactamase","class A beta-lactamase"
"1274","ARO:3001883","BOR-1","ARO:3008082","CTX-M-21",1,"class A beta-lactamase","class A beta-lactamase"
"1275","ARO:3008082","BOR-1","ARO:3005646","CTX-M-223",1,"class A beta-lactamase","class A beta-lactamase"
"1276","ARO:3001944","BOR-1","ARO:3008082","CTX-M-83",1,"class A beta-lactamase","class A beta-lactamase"
"1277","ARO:3008082","BOR-1","ARO:3007206","KBL-1",1,"class A beta-lactamase","class A beta-lactamase"
"1278","ARO:3008082","BOR-1","ARO:3008350","KPC-233",1,"class A beta-lactamase","class A beta-lactamase"
"1279","ARO:3002468","BOR-1","ARO:3008082","LEN-21",1,"class A beta-lactamase","class A beta-lactamase"
"1280","ARO:3006933","BOR-1","ARO:3008082","LEN-28",1,"class A beta-lactamase","class A beta-lactamase"
"1281","ARO:3002472","BOR-1","ARO:3008082","LEN-4",1,"class A beta-lactamase","class A beta-lactamase"
"1282","ARO:3002428","BOR-1","ARO:3008082","OKP-A-11",1,"class A beta-lactamase","class A beta-lactamase"
"1283","ARO:3008082","BOR-1","ARO:3008988","PEN-A10",1,"class A beta-lactamase","class A beta-lactamase"
"1284","ARO:3008082","BOR-1","ARO:3008993","PEN-A16",1,"class A beta-lactamase","class A beta-lactamase"
"1285","ARO:3008082","BOR-1","ARO:3008996","PEN-A19",1,"class A beta-lactamase","class A beta-lactamase"
"1286","ARO:3008082","BOR-1","ARO:3008998","PEN-A20",1,"class A beta-lactamase","class A beta-lactamase"
"1287","ARO:3008082","BOR-1","ARO:3009002","PEN-A24",1,"class A beta-lactamase","class A beta-lactamase"
"1288","ARO:3008082","BOR-1","ARO:3009012","PEN-A33",1,"class A beta-lactamase","class A beta-lactamase"
"1289","ARO:3008082","BOR-1","ARO:3009013","PEN-A34",1,"class A beta-lactamase","class A beta-lactamase"
"1290","ARO:3008082","BOR-1","ARO:3009014","PEN-A35",1,"class A beta-lactamase","class A beta-lactamase"
"1291","ARO:3008082","BOR-1","ARO:3009021","PEN-A8",1,"class A beta-lactamase","class A beta-lactamase"
"1292","ARO:3009026","BOR-1","ARO:3008082","PEN-B4",1,"class A beta-lactamase","class A beta-lactamase"
"1293","ARO:3008082","BOR-1","ARO:3006971","PLA-6",1,"class A beta-lactamase","class A beta-lactamase"
"1294","ARO:3008082","BOR-1","ARO:3006988","SGM-2",1,"class A beta-lactamase","class A beta-lactamase"
"1295","ARO:3001099","BOR-1","ARO:3008082","SHV-41",1,"class A beta-lactamase","class A beta-lactamase"
"1296","ARO:3000873","BOR-1","ARO:3008082","TEM-1",1,"class A beta-lactamase","class A beta-lactamase"
"1297","ARO:3007007","BOR-1","ARO:3008082","TER-2",1,"class A beta-lactamase","class A beta-lactamase"
"1298","ARO:3002877","BcI","ARO:3004764","CBP-1",1,"class A beta-lactamase","class A beta-lactamase"
"1299","ARO:3007101","BcIII","ARO:3006948","LUT-6",1,"class A beta-lactamase","class A beta-lactamase"
"1300","ARO:3007101","BcIII","ARO:3007182","blaC",1,"class A beta-lactamase","class A beta-lactamase"
"1301","ARO:3007101","BcIII","ARO:3005111","blaS1",1,"class A beta-lactamase","class A beta-lactamase"
"1302","ARO:3000090","Bla1","ARO:3009007","PEN-A29",1,"class A beta-lactamase","class A beta-lactamase"
"1303","ARO:3004189","Bla2","ARO:3007002","TTU-1",1,"class B beta-lactamase","class B beta-lactamase"
"1304","ARO:3005540","BlaB-27","ARO:3005555","BlaB-7",1,"class B beta-lactamase","class B beta-lactamase"
"1305","ARO:3005556","BlaB-27","ARO:3005540","BlaB-8",1,"class B beta-lactamase","class B beta-lactamase"
"1306","ARO:3005556","BlaB-7","ARO:3005555","BlaB-8",1,"class B beta-lactamase","class B beta-lactamase"
"1307","ARO:3005588","CAE-1","ARO:3007635","CARB-54",1,"class A beta-lactamase","class A beta-lactamase"
"1308","ARO:3001973","CAE-1","ARO:3007635","CTX-M-113",1,"class A beta-lactamase","class A beta-lactamase"
"1309","ARO:3001883","CAE-1","ARO:3007635","CTX-M-21",1,"class A beta-lactamase","class A beta-lactamase"
"1310","ARO:3002478","CAE-1","ARO:3007635","LEN-15",1,"class A beta-lactamase","class A beta-lactamase"
"1311","ARO:3002468","CAE-1","ARO:3007635","LEN-21",1,"class A beta-lactamase","class A beta-lactamase"
"1312","ARO:3007635","CAE-1","ARO:3006943","LUT-1",1,"class A beta-lactamase","class A beta-lactamase"
"1313","ARO:3006946","CAE-1","ARO:3007635","LUT-4",1,"class A beta-lactamase","class A beta-lactamase"
"1314","ARO:3002422","CAE-1","ARO:3007635","OKP-A-5",1,"class A beta-lactamase","class A beta-lactamase"
"1315","ARO:3007635","CAE-1","ARO:3008992","PEN-A15",1,"class A beta-lactamase","class A beta-lactamase"
"1316","ARO:3008996","CAE-1","ARO:3007635","PEN-A19",1,"class A beta-lactamase","class A beta-lactamase"
"1317","ARO:3007635","CAE-1","ARO:3009012","PEN-A33",1,"class A beta-lactamase","class A beta-lactamase"
"1318","ARO:3007635","CAE-1","ARO:3009014","PEN-A35",1,"class A beta-lactamase","class A beta-lactamase"
"1319","ARO:3006973","CAE-1","ARO:3007635","PME-1",1,"class A beta-lactamase","class A beta-lactamase"
"1320","ARO:3006987","CAE-1","ARO:3007635","SGM-1",1,"class A beta-lactamase","class A beta-lactamase"
"1321","ARO:3001099","CAE-1","ARO:3007635","SHV-41",1,"class A beta-lactamase","class A beta-lactamase"
"1322","ARO:3007007","CAE-1","ARO:3007635","TER-2",1,"class A beta-lactamase","class A beta-lactamase"
"1323","ARO:3008083","CAM-2","ARO:3006994","SHN-1",1,"class B beta-lactamase","class B beta-lactamase"
"1324","ARO:3006903","CAR-1","ARO:3004803","GOB-11",1,"class B beta-lactamase","class B beta-lactamase"
"1325","ARO:3006903","CAR-1","ARO:3008198","GOB-53",1,"class B beta-lactamase","class B beta-lactamase"
"1326","ARO:3002510","CAR-1","ARO:3006903","LRA-3",1,"class B beta-lactamase","class B beta-lactamase"
"1327","ARO:3002255","CARB-10","ARO:3002249","CARB-16",1,"class A beta-lactamase","class A beta-lactamase"
"1328","ARO:3002249","CARB-10","ARO:3002247","CARB-8",1,"class A beta-lactamase","class A beta-lactamase"
"1329","ARO:3002249","CARB-10","ARO:3008821","PAD-1",1,"class A beta-lactamase","class A beta-lactamase"
"1330","ARO:3002250","CARB-12","ARO:3008194","GMA-2",1,"class A beta-lactamase","class A beta-lactamase"
"1331","ARO:3002255","CARB-14","ARO:3002252","CARB-16",1,"class A beta-lactamase","class A beta-lactamase"
"1332","ARO:3002252","CARB-14","ARO:3005584","CARB-50",1,"class A beta-lactamase","class A beta-lactamase"
"1333","ARO:3002255","CARB-16","ARO:3002244","CARB-5",1,"class A beta-lactamase","class A beta-lactamase"
"1334","ARO:3002255","CARB-16","ARO:3002247","CARB-8",1,"class A beta-lactamase","class A beta-lactamase"
"1335","ARO:3002255","CARB-16","ARO:3009007","PEN-A29",1,"class A beta-lactamase","class A beta-lactamase"
"1336","ARO:3003174","CARB-18","ARO:3003186","CARB-23",1,"class A beta-lactamase","class A beta-lactamase"
"1337","ARO:3003174","CARB-18","ARO:3005563","CARB-27",1,"class A beta-lactamase","class A beta-lactamase"
"1338","ARO:3003174","CARB-18","ARO:3005580","CARB-46",1,"class A beta-lactamase","class A beta-lactamase"
"1339","ARO:3008193","CARB-19","ARO:3003175","GMA-1",1,"class A beta-lactamase","class A beta-lactamase"
"1340","ARO:3002241","CARB-2","ARO:3005585","CARB-51",1,"class A beta-lactamase","class A beta-lactamase"
"1341","ARO:3002241","CARB-2","ARO:3007837","CARB-58",1,"class A beta-lactamase","class A beta-lactamase"
"1342","ARO:3007003","CARB-22","ARO:3003151","VHH-1",1,"class A beta-lactamase","class A beta-lactamase"
"1343","ARO:3003186","CARB-23","ARO:3005563","CARB-27",1,"class A beta-lactamase","class A beta-lactamase"
"1344","ARO:3003186","CARB-23","ARO:3005580","CARB-46",1,"class A beta-lactamase","class A beta-lactamase"
"1345","ARO:3002246","CARB-23","ARO:3003186","CARB-7",1,"class A beta-lactamase","class A beta-lactamase"
"1346","ARO:3008193","CARB-23","ARO:3003186","GMA-1",1,"class A beta-lactamase","class A beta-lactamase"
"1347","ARO:3005563","CARB-27","ARO:3005580","CARB-46",1,"class A beta-lactamase","class A beta-lactamase"
"1348","ARO:3002242","CARB-3","ARO:3007837","CARB-58",1,"class A beta-lactamase","class A beta-lactamase"
"1349","ARO:3002246","CARB-4","ARO:3002243","CARB-7",1,"class A beta-lactamase","class A beta-lactamase"
"1350","ARO:3007803","CARB-42","ARO:3005576","CARB-56",1,"class A beta-lactamase","class A beta-lactamase"
"1351","ARO:3007836","CARB-42","ARO:3005576","CARB-57",1,"class A beta-lactamase","class A beta-lactamase"
"1352","ARO:3002246","CARB-51","ARO:3005585","CARB-7",1,"class A beta-lactamase","class A beta-lactamase"
"1353","ARO:3008193","CARB-53","ARO:3005587","GMA-1",1,"class A beta-lactamase","class A beta-lactamase"
"1354","ARO:3002246","CARB-55","ARO:3005589","CARB-7",1,"class A beta-lactamase","class A beta-lactamase"
"1355","ARO:3007836","CARB-56","ARO:3007803","CARB-57",1,"class A beta-lactamase","class A beta-lactamase"
"1356","ARO:3002246","CARB-7","ARO:3008194","GMA-2",1,"class A beta-lactamase","class A beta-lactamase"
"1357","ARO:3000855","CAU-1","ARO:3006951","MBL1b",1,"class B beta-lactamase","class B beta-lactamase"
"1358","ARO:3004764","CBP-1","ARO:3005074","ROB-4",1,"class A beta-lactamase","class A beta-lactamase"
"1359","ARO:3004764","CBP-1","ARO:3005078","ROB-8",1,"class A beta-lactamase","class A beta-lactamase"
"1360","ARO:3002126","CDA-1","ARO:3007650","CMY-115",1,"class C beta-lactamase","class C beta-lactamase"
"1361","ARO:3008124","CDA-1","ARO:3007650","CMY-189",1,"class C beta-lactamase","class C beta-lactamase"
"1362","ARO:3002092","CDA-1","ARO:3007650","CMY-79",1,"class C beta-lactamase","class C beta-lactamase"
"1363","ARO:3009096","CDA-1","ARO:3007650","YOC-1",1,"class C beta-lactamase","class C beta-lactamase"
"1364","ARO:3001856","CFE-1","ARO:3007438","LAQ-1",1,"class C beta-lactamase","class C beta-lactamase"
"1365","ARO:3006155","CGA-1","ARO:3004766","CME-2",1,"class A beta-lactamase","class A beta-lactamase"
"1366","ARO:3003204","CGA-1","ARO:3004766","TLA-3",1,"class A beta-lactamase","class A beta-lactamase"
"1367","ARO:3000841","CGB-1","ARO:3002266","IND-10",1,"class B beta-lactamase","class B beta-lactamase"
"1368","ARO:3000841","CGB-1","ARO:3007470","IND-17",1,"class B beta-lactamase","class B beta-lactamase"
"1369","ARO:3000841","CGB-1","ARO:3002265","IND-9",1,"class B beta-lactamase","class B beta-lactamase"
"1370","ARO:3004775","CIA-1","ARO:3004768","CME-1",1,"class A beta-lactamase","class A beta-lactamase"
"1371","ARO:3003203","CIA-1","ARO:3004768","TLA-2",1,"class A beta-lactamase","class A beta-lactamase"
"1372","ARO:3008394","CIA-4","ARO:3004771","MUN-1",1,"class A beta-lactamase","class A beta-lactamase"
"1373","ARO:3006954","CIM-1","ARO:3007840","MYO-1",1,"class B beta-lactamase","class B beta-lactamase"
"1374","ARO:3004773","CKO-1","ARO:3006950","MAL-2",1,"class A beta-lactamase","class A beta-lactamase"
"1375","ARO:3006923","CMA-1","ARO:3006922","CMA-2",1,"class C beta-lactamase","class C beta-lactamase"
"1376","ARO:3006854","CMH-1","ARO:3004777","CMH-2",1,"class C beta-lactamase","class C beta-lactamase"
"1377","ARO:3008095","CMH-1","ARO:3004777","CMH-20",1,"class C beta-lactamase","class C beta-lactamase"
"1378","ARO:3004777","CMH-1","ARO:3006855","CMH-3",1,"class C beta-lactamase","class C beta-lactamase"
"1379","ARO:3002175","CMH-1","ARO:3004777","MIR-10",1,"class C beta-lactamase","class C beta-lactamase"
"1380","ARO:3006854","CMH-2","ARO:3008095","CMH-20",1,"class C beta-lactamase","class C beta-lactamase"
"1381","ARO:3006854","CMH-2","ARO:3006855","CMH-3",1,"class C beta-lactamase","class C beta-lactamase"
"1382","ARO:3002175","CMH-2","ARO:3006854","MIR-10",1,"class C beta-lactamase","class C beta-lactamase"
"1383","ARO:3008095","CMH-20","ARO:3006855","CMH-3",1,"class C beta-lactamase","class C beta-lactamase"
"1384","ARO:3002175","CMH-20","ARO:3008095","MIR-10",1,"class C beta-lactamase","class C beta-lactamase"
"1385","ARO:3002175","CMH-3","ARO:3006855","MIR-10",1,"class C beta-lactamase","class C beta-lactamase"
"1386","ARO:3002012","CMY-1","ARO:3002155","FOX-1",1,"class C beta-lactamase","class C beta-lactamase"
"1387","ARO:3002012","CMY-1","ARO:3002156","FOX-2",1,"class C beta-lactamase","class C beta-lactamase"
"1388","ARO:3008390","CMY-1","ARO:3002012","MOX-22",1,"class C beta-lactamase","class C beta-lactamase"
"1389","ARO:3002191","CMY-1","ARO:3002012","MOX-9",1,"class C beta-lactamase","class C beta-lactamase"
"1390","ARO:3008125","CMY-100","ARO:3002112","CMY-190",1,"class C beta-lactamase","class C beta-lactamase"
"1391","ARO:3002083","CMY-101","ARO:3002113","CMY-70",1,"class C beta-lactamase","class C beta-lactamase"
"1392","ARO:3002117","CMY-103","ARO:3002115","CMY-105",1,"class C beta-lactamase","class C beta-lactamase"
"1393","ARO:3006458","CMY-104","ARO:3002116","CMY-159",1,"class C beta-lactamase","class C beta-lactamase"
"1394","ARO:3008125","CMY-104","ARO:3002116","CMY-190",1,"class C beta-lactamase","class C beta-lactamase"
"1395","ARO:3002069","CMY-104","ARO:3002116","CMY-59",1,"class C beta-lactamase","class C beta-lactamase"
"1396","ARO:3002083","CMY-104","ARO:3002116","CMY-70",1,"class C beta-lactamase","class C beta-lactamase"
"1397","ARO:3008125","CMY-108","ARO:3002120","CMY-190",1,"class C beta-lactamase","class C beta-lactamase"
"1398","ARO:3002013","CMY-111","ARO:3002122","CMY-2",1,"class C beta-lactamase","class C beta-lactamase"
"1399","ARO:3002122","CMY-111","ARO:3002034","CMY-23",1,"class C beta-lactamase","class C beta-lactamase"
"1400","ARO:3002069","CMY-111","ARO:3002122","CMY-59",1,"class C beta-lactamase","class C beta-lactamase"
"1401","ARO:3002126","CMY-115","ARO:3009096","YOC-1",1,"class C beta-lactamase","class C beta-lactamase"
"1402","ARO:3006458","CMY-144","ARO:3005219","CMY-159",1,"class C beta-lactamase","class C beta-lactamase"
"1403","ARO:3002045","CMY-157","ARO:3005198","CMY-34",1,"class C beta-lactamase","class C beta-lactamase"
"1404","ARO:3005198","CMY-157","ARO:3002064","CMY-53",1,"class C beta-lactamase","class C beta-lactamase"
"1405","ARO:3006458","CMY-159","ARO:3008125","CMY-190",1,"class C beta-lactamase","class C beta-lactamase"
"1406","ARO:3006458","CMY-159","ARO:3002036","CMY-25",1,"class C beta-lactamase","class C beta-lactamase"
"1407","ARO:3006458","CMY-159","ARO:3002069","CMY-59",1,"class C beta-lactamase","class C beta-lactamase"
"1408","ARO:3006458","CMY-159","ARO:3002096","CMY-83",1,"class C beta-lactamase","class C beta-lactamase"
"1409","ARO:3008113","CMY-176","ARO:3008120","CMY-183",1,"class C beta-lactamase","class C beta-lactamase"
"1410","ARO:3006881","CMY-176","ARO:3008113","EC-8",1,"class C beta-lactamase","class C beta-lactamase"
"1411","ARO:3004290","CMY-176","ARO:3008113","Escherichia coli ampC beta-lactamase",1,"class C beta-lactamase","class C beta-lactamase"
"1412","ARO:3008116","CMY-179","ARO:3002096","CMY-83",1,"class C beta-lactamase","class C beta-lactamase"
"1413","ARO:3006881","CMY-183","ARO:3008120","EC-8",1,"class C beta-lactamase","class C beta-lactamase"
"1414","ARO:3004290","CMY-183","ARO:3008120","Escherichia coli ampC beta-lactamase",1,"class C beta-lactamase","class C beta-lactamase"
"1415","ARO:3002092","CMY-189","ARO:3008124","CMY-79",1,"class C beta-lactamase","class C beta-lactamase"
"1416","ARO:3008125","CMY-190","ARO:3002036","CMY-25",1,"class C beta-lactamase","class C beta-lactamase"
"1417","ARO:3008125","CMY-190","ARO:3002069","CMY-59",1,"class C beta-lactamase","class C beta-lactamase"
"1418","ARO:3008125","CMY-190","ARO:3002087","CMY-74",1,"class C beta-lactamase","class C beta-lactamase"
"1419","ARO:3002095","CMY-190","ARO:3008125","CMY-82",1,"class C beta-lactamase","class C beta-lactamase"
"1420","ARO:3002013","CMY-2","ARO:3002034","CMY-23",1,"class C beta-lactamase","class C beta-lactamase"
"1421","ARO:3002069","CMY-2","ARO:3002013","CMY-59",1,"class C beta-lactamase","class C beta-lactamase"
"1422","ARO:3002069","CMY-23","ARO:3002034","CMY-59",1,"class C beta-lactamase","class C beta-lactamase"
"1423","ARO:3002045","CMY-34","ARO:3002064","CMY-53",1,"class C beta-lactamase","class C beta-lactamase"
"1424","ARO:3002083","CMY-41","ARO:3002052","CMY-70",1,"class C beta-lactamase","class C beta-lactamase"
"1425","ARO:3002062","CMY-48","ARO:3002059","CMY-51",1,"class C beta-lactamase","class C beta-lactamase"
"1426","ARO:3002069","CMY-48","ARO:3002059","CMY-59",1,"class C beta-lactamase","class C beta-lactamase"
"1427","ARO:3002059","CMY-48","ARO:3002078","CMY-65",1,"class C beta-lactamase","class C beta-lactamase"
"1428","ARO:3002069","CMY-51","ARO:3002062","CMY-59",1,"class C beta-lactamase","class C beta-lactamase"
"1429","ARO:3002062","CMY-51","ARO:3002078","CMY-65",1,"class C beta-lactamase","class C beta-lactamase"
"1430","ARO:3002069","CMY-59","ARO:3002088","CMY-75",1,"class C beta-lactamase","class C beta-lactamase"
"1431","ARO:3002069","CMY-59","ARO:3002096","CMY-83",1,"class C beta-lactamase","class C beta-lactamase"
"1432","ARO:3002111","CMY-59","ARO:3002069","CMY-98",1,"class C beta-lactamase","class C beta-lactamase"
"1433","ARO:3002088","CMY-65","ARO:3002078","CMY-75",1,"class C beta-lactamase","class C beta-lactamase"
"1434","ARO:3002083","CMY-70","ARO:3002099","CMY-86",1,"class C beta-lactamase","class C beta-lactamase"
"1435","ARO:3002019","CMY-8","ARO:3006464","CMY-8b",1,"class C beta-lactamase","class C beta-lactamase"
"1436","ARO:3002182","CMY-8","ARO:3002019","MOX-1",1,"class C beta-lactamase","class C beta-lactamase"
"1437","ARO:3002191","CMY-8","ARO:3002019","MOX-9",1,"class C beta-lactamase","class C beta-lactamase"
"1438","ARO:3002095","CMY-82","ARO:3002096","CMY-83",1,"class C beta-lactamase","class C beta-lactamase"
"1439","ARO:3002095","CMY-82","ARO:3002099","CMY-86",1,"class C beta-lactamase","class C beta-lactamase"
"1440","ARO:3002111","CMY-83","ARO:3002096","CMY-98",1,"class C beta-lactamase","class C beta-lactamase"
"1441","ARO:3008183","CMY-8b","ARO:3006464","FOX-21",1,"class C beta-lactamase","class C beta-lactamase"
"1442","ARO:3008383","CMY-8b","ARO:3006464","MOX-15",1,"class C beta-lactamase","class C beta-lactamase"
"1443","ARO:3008384","CMY-8b","ARO:3006464","MOX-16",1,"class C beta-lactamase","class C beta-lactamase"
"1444","ARO:3006464","CMY-8b","ARO:3002183","MOX-2",1,"class C beta-lactamase","class C beta-lactamase"
"1445","ARO:3008388","CMY-8b","ARO:3006464","MOX-20",1,"class C beta-lactamase","class C beta-lactamase"
