"","ARO1","term1","ARO2","term2","n_unigenes","gene_class1","gene_class2"
"45","ARO:3000777","AcrF","ARO:3000502","adeF",43,"efflux pump","efflux pump"
"46","ARO:3000569","tet(30)","ARO:3000561","tet(41)",43,"MFS efflux pump","MFS efflux pump"
"47","ARO:3002841","vatB","ARO:3003744","vatF",43,"vat","vat"
"48","ARO:3002877","BcI","ARO:3000090","Bla1",41,"class A beta-lactamase","class A beta-lactamase"
"49","ARO:3000198","FosX","ARO:3003208","FosXCC",40,"fos","fos"
"50","ARO:3000778","adeG","ARO:3003009","ceoA",40,"efflux pump","efflux pump"
"51","ARO:3005043","cmlA9","ARO:3002705","floR",40,"MFS efflux pump","MFS efflux pump"
"52","ARO:3002846","arr-1","ARO:3002847","arr-2",39,"rifampin inactivation enzyme","rifampin inactivation enzyme"
"53","ARO:3000768","abeS","ARO:3007014","qacJ",38,"efflux pump","efflux pump"
"54","ARO:3000777","adeF","ARO:3003699","mexQ",36,"efflux pump","efflux pump"
"55","ARO:3000463","gimA","ARO:3000462","mgtA",36,"mgt","mgt"
"56","ARO:3000865","mgtA","ARO:3000462","oleD",36,"mgt","mgt"
"57","ARO:3000777","adeF","ARO:3000784","cmeB",34,"efflux pump","efflux pump"
"58","ARO:3008082","BOR-1","ARO:3008821","PAD-1",33,"class A beta-lactamase","class A beta-lactamase"
"59","ARO:3004122","Klebsiella pneumoniae OmpK37","ARO:0010003","small multidrug resistance (SMR) antibiotic efflux pump",33,"permeability modulation","efflux pump"
"60","ARO:3000777","adeF","ARO:0010004","resistance-nodulation-cell division (RND) antibiotic efflux pump",33,"efflux pump","efflux pump"
"61","ARO:3004657","catA1","ARO:3002683","catA4",33,"cat","cat"
"62","ARO:3003953","hmrM","ARO:3000112","multidrug and toxic compound extrusion (MATE) transporter",33,"efflux pump","efflux pump"
"63","ARO:3000491","acrD","ARO:0010004","resistance-nodulation-cell division (RND) antibiotic efflux pump",32,"efflux pump","efflux pump"
"64","ARO:3003209","fosA5","ARO:3007371","FosA8",32,"fos","fos"
"65","ARO:3002804","FosA2","ARO:3007371","FosA8",31,"fos","fos"
"66","ARO:3000829","baeS","ARO:0010004","resistance-nodulation-cell division (RND) antibiotic efflux pump",31,"efflux pump","efflux pump"
"67","ARO:3000377","MexA","ARO:0010004","resistance-nodulation-cell division (RND) antibiotic efflux pump",29,"efflux pump","efflux pump"
"68","ARO:3003209","fosA5","ARO:3004111","FosA6",28,"fos","fos"
"69","ARO:3003565","Bla1","ARO:3000090","R39",27,"class A beta-lactamase","class A beta-lactamase"
"70","ARO:3007372","FosBx1","ARO:3004674","FosD",27,"fos","fos"
"71","ARO:3007372","FosBx1","ARO:3007099","FosM3",26,"fos","fos"
"72","ARO:3007015","qacE","ARO:3005009","qacG",26,"efflux pump","MFS efflux pump"
"73","ARO:3003728","vanR gene in vanA cluster","ARO:3002919","vanR gene in vanI cluster",26,"van","van"
"74","ARO:3002648","APH(3')-IIIa","ARO:3002647","APH(3')-IVa",25,"aph","aph"
"75","ARO:3002525","AAC(2')-Ib","ARO:3002524","AAC(2')-Ic",24,"aac","aac"
"76","ARO:3002846","arr-1","ARO:3002850","arr-5",24,"rifampin inactivation enzyme","rifampin inactivation enzyme"
"77","ARO:3002698","cmlB","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump",24,"MFS efflux pump","MFS efflux pump"
"78","ARO:3002511","LRA-12","ARO:3006972","PLN-1",23,"class B beta-lactamase","class B beta-lactamase"
"79","ARO:3002538","AAC(3)-IIIb","ARO:3002537","AAC(3)-IIIc",22,"aac","aac"
"80","ARO:3002642","APH(3')-Ia","ARO:3002641","APH(3')-Ib",20,"aph","aph"
"81","ARO:3003208","FosI","ARO:3007370","FosXCC",20,"fos","fos"
"82","ARO:3005098","qacJ","ARO:3007014","qacL",20,"efflux pump","efflux pump"
"83","ARO:3005009","qacE","ARO:3007014","qacJ",19,"MFS efflux pump","efflux pump"
"84","ARO:3002934","vanS gene in vanD cluster","ARO:3002937","vanS gene in vanG cluster",19,"van","van"
"85","ARO:3008821","CAE-1","ARO:3007635","PAD-1",18,"class A beta-lactamase","class A beta-lactamase"
"86","ARO:3002702","cmrA","ARO:3002701","Rhodococcus fascians cmr",18,"MFS efflux pump","MFS efflux pump"
"87","ARO:3000823","Escherichia coli soxS with mutation conferring antibiotic resistance","ARO:3003511","ramA",17,"efflux pump","variant or mutant"
"88","ARO:3002824","ErmS","ARO:3001304","ErmV",16,"erm","erm"
"89","ARO:3004043","Escherichia coli acrA","ARO:3007509","Shigella flexneri acrA",16,"efflux pump","efflux pump"
"90","ARO:3000421","norB","ARO:3007010","norC",16,"MFS efflux pump","MFS efflux pump"
"91","ARO:3002513","LRA-19","ARO:3006972","PLN-1",15,"class B beta-lactamase","class B beta-lactamase"
"92","ARO:3002626","aad(6)","ARO:3002628","ANT(6)-Ia",15,"ant","ant"
"93","ARO:3000753","abeM","ARO:3000112","multidrug and toxic compound extrusion (MATE) transporter",15,"efflux pump","efflux pump"
"94","ARO:3002541","AAC(3)-VIIa","ARO:3002542","AAC(3)-VIIIa",14,"aac","aac"
"95","ARO:3002553","AAC(6')-I-48","ARO:3004638","AAC(6')-If",14,"aac","aac"
"96","ARO:3002553","AAC(6')-Ic","ARO:3002549","AAC(6')-If",14,"aac","aac"
"97","ARO:3000606","B3SU2-1","ARO:3008079","FEZ-1",14,"class B beta-lactamase","class B beta-lactamase"
"98","ARO:3008079","B3SU2-1","ARO:3003720","SPG-1",14,"class B beta-lactamase","class B beta-lactamase"
"99","ARO:3002482","CAE-1","ARO:3007635","LRA-1",14,"class A beta-lactamase","class A beta-lactamase"
"100","ARO:3003002","CfxA","ARO:3003001","CfxA2",14,"class A beta-lactamase","class A beta-lactamase"
"101","ARO:3000602","Erm(39)","ARO:3004606","erm(40)",14,"erm","erm"
"102","ARO:3004111","FosA6","ARO:3007371","FosA8",14,"fos","fos"
"103","ARO:3000569","tet(41)","ARO:3007494","tet(64)",14,"MFS efflux pump","MFS efflux pump"
"104","ARO:3002570","AAC(6')-Iap","ARO:3007204","AAC(6')-Iz",13,"aac","aac"
"105","ARO:3002644","APH(3')-IIa","ARO:3002646","APH(3')-IIc",13,"aph","aph"
"106","ARO:3002646","APH(3')-IIb","ARO:3002645","APH(3')-IIc",13,"aph","aph"
"107","ARO:3002482","BOR-1","ARO:3008082","LRA-1",13,"class A beta-lactamase","class A beta-lactamase"
"108","ARO:3003002","CfxA2","ARO:3003097","CfxA6",13,"class A beta-lactamase","class A beta-lactamase"
"109","ARO:3004113","FosA7","ARO:3007371","FosA8",13,"fos","fos"
"110","ARO:3007509","Klebsiella pneumoniae acrA","ARO:3004041","Shigella flexneri acrA",13,"efflux pump","efflux pump"
"111","ARO:3003202","LUS-1","ARO:3006942","TLA-1",13,"class A beta-lactamase","class A beta-lactamase"
"112","ARO:3005045","SAT-4","ARO:3002897","SatA",13,"sat","sat"
"113","ARO:3000784","cmeB","ARO:0010004","resistance-nodulation-cell division (RND) antibiotic efflux pump",13,"efflux pump","efflux pump"
"114","ARO:3000602","Erm(31)","ARO:3000598","Erm(39)",12,"erm","erm"
"115","ARO:3004652","Erm(O)-lrm","ARO:3001303","ErmO-srmA",12,"erm","erm"
"116","ARO:3007372","FosB","ARO:3000172","FosBx1",12,"fos","fos"
"117","ARO:3008649","OXA-1239","ARO:3001794","OXA-45",12,"class D beta-lactamase","class D beta-lactamase"
"118","ARO:3002846","arr-1","ARO:3002853","arr-8",12,"rifampin inactivation enzyme","rifampin inactivation enzyme"
"119","ARO:3000596","erm(56)","ARO:3007654","ErmX",12,"erm","erm"
"120","ARO:3002955","vanY gene in vanA cluster","ARO:3002958","vanY gene in vanF cluster",12,"van","van"
"121","ARO:3002569","AAC(6')-If","ARO:3002553","AAC(6')-Iy",11,"aac","aac"
"122","ARO:3002553","AAC(6')-If","ARO:3002570","AAC(6')-Iz",11,"aac","aac"
"123","ARO:3009041","AMZ-1","ARO:3007694","RSC1-1",11,"class C beta-lactamase","class C beta-lactamase"
"124","ARO:3000856","BJP-1","ARO:3003720","SPG-1",11,"class B beta-lactamase","class B beta-lactamase"
"125","ARO:3000855","CAU-1","ARO:3003720","SPG-1",11,"class B beta-lactamase","class B beta-lactamase"
"126","ARO:3002686","Campylobacter coli chloramphenicol acetyltransferase","ARO:3004454","catP",11,"cat","cat"
"127","ARO:3000498","Erm(35)","ARO:3000604","ErmF",11,"erm","erm"
"128","ARO:3002804","FosA2","ARO:3003209","fosA5",11,"fos","fos"
"129","ARO:3007802","RATA-2","ARO:3007442","SSA",11,"class A beta-lactamase","class A beta-lactamase"
"130","ARO:3002376","RATA-2","ARO:3007802","VEB-7",11,"class A beta-lactamase","class A beta-lactamase"
"131","ARO:3002846","arr-1","ARO:3002848","arr-3",11,"rifampin inactivation enzyme","rifampin inactivation enzyme"
"132","ARO:3002814","cfr(B)","ARO:3004649","clbA",11,"target-modifying enzyme","target-modifying enzyme"
"133","ARO:3000794","mdtC","ARO:0010004","resistance-nodulation-cell division (RND) antibiotic efflux pump",11,"efflux pump","efflux pump"
"134","ARO:3003728","vanR gene in vanG cluster","ARO:3002926","vanR gene in vanI cluster",11,"van","van"
"135","ARO:3002539","AAC(3)-IVa","ARO:3005061","AAC(3)-IVb",10,"aac","aac"
"136","ARO:3003564","AST-1","ARO:3004740","EXO-1",10,"class A beta-lactamase","class A beta-lactamase"
"137","ARO:3000602","Erm(39)","ARO:3004596","erm(46)",10,"erm","erm"
"138","ARO:3001610","OXA-1043","ARO:3008462","OXA-243",10,"class D beta-lactamase","class D beta-lactamase"
"139","ARO:3008649","OXA-1239","ARO:3001413","OXA-18",10,"class D beta-lactamase","class D beta-lactamase"
"140","ARO:3005725","OXA-464","ARO:3003620","OXA-491",10,"class D beta-lactamase","class D beta-lactamase"
"141","ARO:3007014","qacH","ARO:3003836","qacJ",10,"efflux pump","efflux pump"
"142","ARO:3003155","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:0010004","SHV-188",10,"class A beta-lactamase","efflux pump"
"143","ARO:3002531","AAC(3)-Ib","ARO:3002530","AAC(3)-Ic",9,"aac","aac"
"144","ARO:3002565","AAC(6')-I-48","ARO:3004638","AAC(6')-Iu",9,"aac","aac"
"145","ARO:3000853","AIM-1","ARO:3007374","PJM-1",9,"class B beta-lactamase","class B beta-lactamase"
"146","ARO:3008394","CblA-1","ARO:3002999","MUN-1",9,"class A beta-lactamase","class A beta-lactamase"
"147","ARO:3003002","CfxA2","ARO:3003003","CfxA3",9,"class A beta-lactamase","class A beta-lactamase"
"148","ARO:3002824","Erm(O)-lrm","ARO:3004652","ErmV",9,"erm","erm"
"149","ARO:3007372","FosBx1","ARO:3007097","FosM1",9,"fos","fos"
"150","ARO:3009041","PDC-160","ARO:3006539","RSC1-1",9,"class C beta-lactamase","class C beta-lactamase"
"151","ARO:3009041","PDC-241","ARO:3006619","RSC1-1",9,"class C beta-lactamase","class C beta-lactamase"
"152","ARO:3002605","aadA4","ARO:3002604","aadA5",9,"ant","ant"
"153","ARO:3000777","adeF","ARO:3003056","smeE",9,"efflux pump","efflux pump"
"154","ARO:3002817","carA","ARO:3002827","tlrC",9,"abcF","abcF"
"155","ARO:3004588","emrA","ARO:3000027","Klebsiella pneumoniae KpnG",9,"efflux pump","efflux pump"
"156","ARO:3007015","qacG","ARO:3003836","qacH",9,"efflux pump","efflux pump"
"157","ARO:3000347","23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)","ARO:3005099","ErmA",8,"erm","erm"
"158","ARO:3002525","AAC(2')-Ic","ARO:3002527","AAC(2')-Ie",8,"aac","aac"
"159","ARO:3002646","APH(3')-IIc","ARO:3002647","APH(3')-IIIa",8,"aph","aph"
"160","ARO:3007802","ASU1-1","ARO:3008074","RATA-2",8,"class A beta-lactamase","class A beta-lactamase"
"161","ARO:3000855","B3SU2-1","ARO:3008079","CAU-1",8,"class B beta-lactamase","class B beta-lactamase"
"162","ARO:3004747","BAT-1","ARO:3006902","BSU-1",8,"class D beta-lactamase","class D beta-lactamase"
"163","ARO:3007635","CAE-1","ARO:3009021","PEN-A8",8,"class A beta-lactamase","class A beta-lactamase"
"164","ARO:3006225","CepA-44","ARO:3006226","CepA-49",8,"class A beta-lactamase","class A beta-lactamase"
"165","ARO:3003003","CfxA","ARO:3003001","CfxA3",8,"class A beta-lactamase","class A beta-lactamase"
"166","ARO:3004042","Enterobacter cloacae acrA","ARO:3004043","Escherichia coli acrA",8,"efflux pump","efflux pump"
"167","ARO:3007372","FosB2","ARO:3005100","FosBx1",8,"fos","fos"
"168","ARO:3001769","LRA-13","ARO:3002484","OXA-42",8,"class D beta-lactamase","class D beta-lactamase"
"169","ARO:3009007","PEN-A29","ARO:3009012","PEN-A33",8,"class A beta-lactamase","class A beta-lactamase"
"170","ARO:3009024","PEN-B2","ARO:3009026","PEN-B4",8,"class A beta-lactamase","class A beta-lactamase"
"171","ARO:3009041","PNC-1","ARO:3009032","RSC1-1",8,"class C beta-lactamase","class C beta-lactamase"
"172","ARO:3002849","arr-3","ARO:3002848","arr-4",8,"rifampin inactivation enzyme","rifampin inactivation enzyme"
"173","ARO:3003559","cepA","ARO:3006226","CepA-49",8,"class A beta-lactamase","class A beta-lactamase"
"174","ARO:3004146","cfrC","ARO:3005023","cfrE",8,"target-modifying enzyme","target-modifying enzyme"
