"gene","aro"
"tet(40)","ARO:3000567"
"tet(C)","ARO:3000167"
"tet(G)","ARO:3000174"
"ugd","ARO:3003577"
"RCP-1","ARO:3003563"
"lmrC","ARO:3002881"
"CGB-1","ARO:3000841"
"vanS_gene_in_vanC_cluster","ARO:3002933"
"y56_beta-lactamase","ARO:3003558"
"ErmA","ARO:3000347"
"ErmG","ARO:3000522"
"AAC(6')-Ib9","ARO:3002580"
"BEL-1","ARO:3002385"
"IND-1","ARO:3002256"
"APH(2'')-IIIa","ARO:3002636"
"evgA","ARO:3000832"
"APH(3')-IIc","ARO:3002646"
"SHV-1","ARO:3001059"
"APH(6)-Id","ARO:3002660"
"QnrA7","ARO:3002713"
"cmlB1","ARO:3002699"
"dfrB3","ARO:3003022"
"vgaD","ARO:3002832"
"catS","ARO:3002688"
"QnrB33","ARO:3002748"
"sul1","ARO:3000410"
"VIM-4","ARO:3002274"
"AAC(6')-31","ARO:3002585"
"Erm(38)","ARO:3000601"
"vanB","ARO:3000013"
"acrB","ARO:3000216"
"AAC(3)-VIa","ARO:3002540"
"AAC(6')-Ig","ARO:3002554"
"OXA-58","ARO:3001611"
"ANT(6)-Ib","ARO:3002629"
"ErmD","ARO:3000495"
"OXA-2","ARO:3001397"
"APH(3')-VIa","ARO:3002652"
"OXA-184","ARO:3001476"
"OXA-23","ARO:3001418"
"AAC(3)-Ic","ARO:3002531"
"tet(H)","ARO:3000175"
"tet(39)","ARO:3000566"
"MexE","ARO:3000803"
"tet(J)","ARO:3000177"
"tet(V)","ARO:3000181"
"AAC(6')-Ii","ARO:3002556"
"dfrA12","ARO:3002858"
"dfrA17","ARO:3002860"
"vanR_gene_in_vanD_cluster","ARO:3002923"
"vanZ_gene_in_vanA_cluster","ARO:3002962"
"ErmO-srmA","ARO:3001303"
"CAU-1","ARO:3000855"
"OXA-363","ARO:3001550"
"AER-1","ARO:3002481"
"Erm(31)","ARO:3000598"
"vanG","ARO:3002909"
"lsaB","ARO:3003111"
"norB","ARO:3000421"
"OXA-360","ARO:3001547"
"mdsC","ARO:3000791"
"cmeA","ARO:3000783"
"ErmV","ARO:3002824"
"vatB","ARO:3002841"
"mdtM","ARO:3001214"
"msrA","ARO:3000251"
"DHA-13","ARO:3002144"
"novA","ARO:3002522"
"erm(40)","ARO:3004606"
"Erm(30)","ARO:3001265"
"adeG","ARO:3000778"
"aadA2","ARO:3002602"
"mel","ARO:3000616"
"cmeR","ARO:3000526"
"mphA","ARO:3000316"
"AAC(2')-Ic","ARO:3002525"
"H-NS","ARO:3000676"
"ceoB","ARO:3003010"
